Number of Processes, Number of Rounds, Total RMR, RMR per Critical Section
1000,7174,4463824,4463.824
1000,9231,5219413,5219.413
1000,7380,4534618,4534.618
1000,7687,4517706,4517.706
1000,8858,5063842,5063.842
1000,7784,4284039,4284.039
1000,8037,4886774,4886.774
1000,7892,4257786,4257.786
1000,8305,4735732,4735.732
1000,9932,5663073,5663.073
1025,12682,7390653,7210.393170731707
1025,11939,6773492,6608.28487804878
1025,11630,6610677,6449.440975609756
1025,11356,6656201,6493.854634146342
1025,10479,5849532,5706.860487804878
1025,11529,6441487,6284.377560975609
1025,12751,7113196,6939.703414634147
1025,13764,7826949,7636.047804878049
1025,14008,7914537,7721.4995121951215
1025,11600,6685018,6521.968780487805
1050,9569,5611756,5344.529523809524
1050,11880,6978082,6645.792380952381
1050,11999,6981325,6648.880952380952
1050,11881,6864634,6537.746666666667
1050,11514,6785293,6462.18380952381
1050,13174,7503770,7146.447619047619
1050,10925,6529726,6218.786666666667
1050,12558,7494762,7137.868571428571
1050,11381,6748803,6427.431428571429
1050,12731,7345718,6995.921904761904
1075,12488,7447092,6927.527441860465
1075,11476,6947425,6462.720930232558
1075,11086,6630504,6167.910697674419
1075,12137,7461252,6940.699534883721
1075,12147,7348948,6836.2306976744185
1075,12316,7107258,6611.402790697674
1075,11782,7003721,6515.089302325581
1075,11550,6591593,6131.714418604651
1075,11861,7308781,6798.866046511628
1075,11835,7187144,6685.71534883721
1100,11154,6614525,6013.204545454545
1100,12726,7790471,7082.246363636364
1100,10599,6974631,6340.573636363636
1100,10215,6686721,6078.837272727273
1100,11521,7223078,6566.4345454545455
1100,11319,6442587,5856.897272727273
1100,13014,8008577,7280.524545454546
1100,11541,7082292,6438.447272727272
1100,11612,7419122,6744.6563636363635
1100,11477,7051454,6410.412727272727
1125,12447,7746241,6885.547555555556
1125,12263,7852839,6980.301333333334
1125,13300,8079836,7182.076444444445
1125,11061,6824504,6066.225777777778
1125,11651,7569608,6728.540444444445
1125,12073,7590437,6747.055111111111
1125,11656,7264466,6457.303111111111
1125,13894,8744107,7772.539555555555
1125,11519,7728610,6869.875555555555
1125,11748,7037091,6255.192
1150,12843,8268046,7189.605217391304
1150,10893,6884614,5986.620869565218
1150,11932,7404708,6438.87652173913
1150,12195,7904441,6873.426956521739
1150,13319,8564019,7446.9730434782605
1150,12605,8022838,6976.380869565218
1150,11809,7509184,6529.725217391305
1150,12216,7203378,6263.806956521739
1150,12936,8321979,7236.50347826087
1150,13391,8360250,7269.782608695652
1175,12637,8204689,6982.714042553192
1175,12358,7987494,6797.867234042553
1175,11769,7576779,6448.3225531914895
1175,12934,8509662,7242.2655319148935
1175,11204,7279042,6194.929361702128
1175,13740,8932918,7602.483404255319
1175,11827,7940429,6757.811914893617
1175,12767,8281494,7048.08
1175,12732,8654470,7365.506382978723
1175,13750,8997723,7657.636595744681
1200,13506,8674538,7228.781666666667
1200,11208,8078394,6731.995
1200,11305,7272961,6060.800833333334
1200,13408,8851547,7376.2891666666665
1200,11522,7695360,6412.8
1200,13661,9140557,7617.130833333334
1200,10846,7499245,6249.370833333333
1200,10992,7668919,6390.765833333333
1200,10910,7844127,6536.7725
1200,12399,8760204,7300.17
1225,13211,9104031,7431.862040816327
1225,11910,8468105,6912.7387755102045
1225,11721,8467500,6912.244897959184
1225,11352,7734796,6314.11918367347
1225,13443,8781306,7168.41306122449
1225,11759,7977278,6512.063673469388
1225,12385,8418071,6871.894693877551
1225,12585,8953815,7309.236734693877
1225,12566,8790642,7176.034285714286
1225,10578,6842824,5585.978775510204
1250,13324,9298793,7439.0344
1250,11933,8145021,6516.0168
1250,12727,8866859,7093.4872
1250,12342,8850103,7080.0824
1250,14010,9670373,7736.2984
1250,13031,9707221,7765.7768
1250,13000,9370651,7496.5208
1250,11701,8227262,6581.8096
1250,11890,8883896,7107.1168
1250,12970,9122605,7298.084
1275,13144,9768526,7661.5890196078435
1275,13453,9804535,7689.83137254902
1275,11730,8573851,6724.5890196078435
1275,12780,9049017,7097.268235294117
1275,13060,9162797,7186.507450980393
1275,14375,9795015,7682.364705882353
1275,11877,8348287,6547.676078431373
1275,11893,8488772,6657.860392156863
1275,11725,8710682,6831.907450980392
1275,12675,9704715,7611.541176470589
1300,13649,10234065,7872.357692307693
1300,12267,9236744,7105.1876923076925
1300,11853,8458975,6506.903846153846
1300,11930,8630743,6639.033076923077
1300,11542,8490112,6530.8553846153845
1300,13157,9511473,7316.517692307692
1300,12274,8958235,6890.95
1300,13834,10299849,7922.960769230769
1300,12492,9281137,7139.336153846154
1300,14233,10451599,8039.691538461539
1325,12896,10045255,7581.324528301887
1325,12898,9239224,6972.999245283019
1325,13898,10572440,7979.2
1325,12397,9201480,6944.51320754717
1325,13253,9736065,7347.973584905661
1325,12106,8865260,6690.762264150943
1325,13015,9814637,7407.2732075471695
1325,13134,10388503,7840.37962264151
1325,13958,10735539,8102.29358490566
1325,12880,9568861,7221.7818867924525
1350,12853,9465664,7011.602962962963
1350,11935,9156050,6782.259259259259
1350,13817,10319666,7644.197037037037
1350,14498,11065597,8196.73851851852
1350,12321,9670076,7163.019259259259
1350,12095,8969337,6643.953333333333
1350,12602,9866761,7308.711851851852
1350,13205,9567005,7086.670370370371
1350,12391,9314170,6899.385185185185
1350,12724,9753342,7224.697777777777
1375,12055,9329900,6785.381818181818
1375,13449,10409555,7570.585454545455
1375,12863,9949820,7236.232727272727
1375,13305,10465981,7611.622545454546
1375,13703,10330662,7513.208727272728
1375,12597,10076207,7328.150545454546
1375,12568,9921438,7215.591272727273
1375,13497,10467026,7612.382545454546
1375,13152,10218325,7431.509090909091
1375,13635,11157548,8114.5803636363635
1400,13354,10681715,7629.796428571429
1400,13287,10496471,7497.479285714286
1400,13178,10447884,7462.774285714286
1400,14648,11167250,7976.607142857143
1400,12532,9978116,7127.225714285714
1400,14218,11092673,7923.3378571428575
1400,13111,10633132,7595.094285714285
1400,15321,11804194,8431.567142857142
1400,14772,11402138,8144.384285714285
1400,14075,10742835,7673.453571428571
1425,12921,11307254,7934.915087719298
1425,16264,13253286,9300.551578947368
1425,12443,10495374,7365.174736842106
1425,13872,11931178,8372.75649122807
1425,13331,10422027,7313.703157894737
1425,14112,11589491,8132.976140350877
1425,13188,10797095,7576.908771929825
1425,12222,10434636,7322.551578947368
1425,12329,10373684,7279.778245614035
1425,13856,10717033,7520.724912280702
1450,12430,10692323,7374.015862068965
1450,14110,11512558,7939.695172413793
1450,13731,10839646,7475.617931034482
1450,14152,11128711,7674.973103448276
1450,13684,11218038,7736.577931034482
1450,12472,10502557,7243.14275862069
1450,14790,11994505,8272.072413793103
1450,14172,11384703,7851.519310344827
1450,11905,9844572,6789.36
1450,13438,10713785,7388.81724137931
1475,12588,10225663,6932.652881355933
